"Serial.."	"OMNH.Item.."	"Specimen.ID"	"Sample.ID"	"Weight..µg."	"Date.sampled"	"Notes"	"Link.to.image"	"Taxon"	"thermophysiology"	"Eva_.Sens"	"Eco"	"Element.type"	"samp_type"	"Tissue"	"Xtal.Wt..ug."	"Yield"	"X..elements.in.sample"	"Glue."	"Analysis"	"Batch.."	"Crown.Ht..mm."	"Identifier.1"	"Amount"	"Ampl.28..mV."	"Area.28..Vs."	"X.O"	"d18O..VSMOW."
35	"61221"	"61221-b"	"61221-b.1"	508.2	"2/5/22"	"Broke off fragement from scale, crushed with clean mortar/pestle. Remainder of sample bagged and labeled."	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	292.1	0.574773711	NA	NA	1	1.2	NA	"61221-b1"	0.2921	1975	24.521	15.27213754	12.60158682
36	"61221"	"61221-c"	"61221-c.1"	580.6	"2/5/22"	"Cleaned and reused mortar and pestle. Remainder of specimen bagged and labeled. "	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	551.9	0.950568378	NA	NA	1	1.2	NA	"61221-c1"	0.5519	3640	46.72	15.87308735	14.76139967
38	"61221"	"61221-e"	"61221-e.1"	513.2	"2/6/22"	"Cleaned and reused mortar/pestle. Remainder of specimen bagged and labeled. "	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	327.8	0.638737334	NA	NA	1	1.2	NA	"61221-e1"	0.3278	2162	27.206	15.17688316	14.87163958
124	"61224"	"61224-a"	"61224-a.2"	520.6	"9/1/22"	"Glued to slide. Thick enamel. Some diagenetic calcite in surface enamel cracks. Tried to avoid sampling this, but some may have been included. Also, some dentin was accidentally included. "	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	""	"Croc A"	"tooth"	""	"enamel"	355.5	0.682865924	NA	1	2	2.1	NA	"61224-a2"	0.3555	1991	24.837	13.6005758	15.33293958
125	"61224"	"61224-b"	"61224-b.2"	347.6	"9/1/22"	"Glued to slide. Thick enamel. Some diagenetic calcite in surface enamel cracks. Tried to avoid sampling this, but some may have been included. Also, some dentin was accidentally included. "	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	""	"Croc A"	"tooth"	""	"enamel"	NA	0	NA	1	2	2.1	NA	"61224-b2"	0.5875	3874	48.737	14.95369562	15.09904066
78	"61283"	"61283-a"	"61283-a.1"	371.2	"4/12/22"	"Small specimen, glued to slide. Some superglue might have been included in sample. "	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	433.3	1.167295259	NA	1	1	1.1	NA	"61283-a1"	0.4333	2985	36.001	15.56437274	17.24106161
79	"61283"	"61283-b"	"61283-b.1"	391.3	"4/12/22"	"Small specimen, glued to slide. Some superglue might have been included in sample. Only took 6 mins to sample. "	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	360.5	0.921288014	NA	1	1	1.1	NA	"61283-b1"	0.3605	2505	30.037	15.65754239	16.86220959
77	"61284"	"61284-a"	"61284-a.1"	497.8	"3/5/22"	"Thin enamel, thickest on edges (term?). Small amt of dentin may be included. "	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	599	1.203294496	NA	1	1	1.1	NA	"61284-a1"	0.599	3973	50.709	15.91524373	15.58637508
72	"61286"	"61286-a"	"61286-a.1"	456.4	"3/5/22"	"Thick enamel, good sample."	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	633	1.38694128	NA	1	1	1.1	NA	"61286-a1"	0.633	4180	54.31	15.67327634	16.92962087
73	"61286"	"61286-b"	"61286-b.1"	562.4	"3/5/22"	"Thin enamel, coloration is lighter than other atoposaur samples. Diagenesis? Small amount of dentin may be included in sample."	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	775.6	1.379089616	NA	1	1	1.1	NA	"61286-b1"	0.7756	4990	63.608	15.22516843	18.3246319
74	"61286"	"61286-c"	"61286-c.1"	442.6	"3/5/22"	"1 of 2. thin enamel, some dentin may be included."	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	506.9	1.145277903	NA	1	1	1.1	NA	"61286-c1"	0.5069	3463	42.996	15.84195919	15.45987402
75	"61286"	"61286-c"	"61286-c.2"	451.6	"3/5/22"	"2 of 2. thin enamel, some dentin may be included."	NA	"\"Atoposauridae\" (croc. indet.)"	"ectotherm"	"EI"	"Croc A"	"tooth"	""	"enamel"	601.3	1.331488043	NA	1	1	1.1	NA	"61286-c2"	0.6013	3925	48.781	15.10888148	15.521515
62	"61289"	"61289-a"	"61289-a.1"	342.5	"2/16/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	430	1.255474453	NA	1	1	1.1	NA	"61289-a1"	0.43	2198	26.137	11.46788909	14.93984365
63	"61289"	"61289-b"	"61289-b.1"	398.7	"2/16/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	326.6	0.819162277	NA	1	1	1.1	NA	"61289-b1"	0.3266	2289	27.59	15.91111392	16.43437907
64	"61289"	"61289-c"	"61289-c.1"	499.8	"2/16/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	545.3	1.091036415	NA	1	1	1.1	NA	"61289-c1"	0.5453	3588	43.79	14.99780389	18.13089755
71	"61289"	"61289-d"	"61289-d.1"	466.5	"2/17/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	596.8	1.279314041	NA	1	1	1.1	NA	"61289-d1"	0.5968	3757	47.809	14.94696979	18.59894675
61	"61289"	"61289-e"	"61289-e.1"	557.9	"2/16/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	654.2	1.172611579	NA	1	1	1.1	NA	"61289-e1"	0.6542	4246	54.41	15.50077655	18.2587364
68	"61289"	"61289-f"	"61289-f.1b"	564.1	"2/16/22"	"Thick enamel, good sample. Produced enough powder for 2 samples from same site. 2 of 2. "	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	558.6	0.990249956	NA	1	1	1.1	NA	"61289-f1b"	0.5586	3649	45.867	15.32155937	16.38939855
70	"61289"	"61289-g"	"61289-g.1"	365.5	"2/17/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	206	0.563611491	NA	1	1	1.1	NA	"61289-g1"	0.206	1585	19.292	16.73278287	13.13811675
69	"61289"	"61289-h"	"61289-h.1"	402.7	"2/17/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	418.3	1.038738515	NA	1	1	1.1	NA	"61289-h1"	0.4183	2877	34.677	15.52946815	19.19894981
65	"61289"	"61289-i"	"61289-i.1"	501.7	"2/16/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	290.7	0.579429938	NA	1	1	1.1	NA	"61289-i1"	0.2907	2049	24.714	16.05392868	16.87756027
66	"61289"	"61289-j"	"61289-j.1"	545	"2/16/22"	"Thick enamel, good sample."	NA	"Bernissartia sp."	"ectotherm"	"EI"	"Croc B"	"tooth"	""	"enamel"	657.2	1.20587156	NA	1	1	1.1	NA	"61289-j1"	0.6572	4245	54.851	15.53370012	14.96614076
50	"61309"	"61309-a"	"61309-a.1"	532.5	"2/8/22"	"Very small specimen, enamel is thin, possibly collected too much dentin along with enamel. Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	708.8	1.331079812	NA	1	1	1.1	4	"61309-a1"	0.7088	4752	62.746	16.14069041	17.24457823
51	"61309"	"61309-b"	"61309-b.1"	538.4	"2/8/22"	"Very small specimen, enamel is thin, possibly collected too much dentin along with enamel. Mounted on glass slide with super glue."	NA	"Goniopholidae"	"ectotherm"	"EI"	"Croc G"	"tooth"	""	"enamel"	581.4	1.07986627	NA	1	1	1.1	5	"61309-b1"	0.5814	3812	46.844	15.03416384	17.11409049
151	"61327"	"61327-a"	"61327-a.1"	459.9	"9/3/22"	"Specimen broke multiple times during sampling, some dentin inevitably included. "	NA	"Bernissartia sp."	"ectotherm"	""	"Croc B"	"tooth"	""	"enamel"	404.5	0.87953903	NA	1	2	2.1	NA	"61327-a1"	0.4045	2320	28.992	13.66496631	15.48203693
117	"61341"	"61341-a"	"61341-a.1"	375.5	"5/24/22"	"Thick enamel. Good sample. ACTUAL OMNH ID is 61413"	NA	"Sauropelta edwardsi"	"endotherm"	"ES"	"Ornithischian"	"tooth"	""	"enamel"	381.3	1.015446072	NA	NA	1	1.3	NA	"61341-a1"	0.3813	2608	32.955	15.98362286	17.02903048
