OMNH Item #,Specimen ID,Sample ID,Weight (µg),Date sampled,Taxon,Element type,samp_type,Tissue,Ag3PO4_Wt (ug),CO_Yield,d18O (VSMOW)
60406,60406-b,60406-b.1,349.1,5/24/22,Maniraptorans,tooth,bulk,enamel,208.8,0.598109424,17.55405804
60406,60406-c,60406-c.1a,482,5/24/22,Maniraptorans,tooth,bulk,enamel,454.4,0.942738589,13.71248653
60406,60406-e,60406-e.1,576.2,5/24/22,Maniraptorans,tooth,bulk,enamel,530,0.919819507,23.22319825
61348,61348-a,61348-a.1,345.7,9/2/22,Maniraptorans,tooth,bulk,enamel,352.2,1.01880243,13.65553388
61351,61351-a,61351-a.1a,450.4,5/24/22,Maniraptorans,tooth,bulk,enamel,365.6,0.811722913,12.72700545
61352,61352-a,61352-a.1,531.7,5/24/22,Maniraptorans,tooth,bulk,enamel,697.2,1.311265751,17.16617443
61355,61355-a,61355-a.1a,571.5,9/2/22,Maniraptorans,tooth,bulk,enamel,332.7,0.582152231,14.30604066
61357,61357-a,61357-a.1,394.7,4/28/22,Maniraptorans,tooth,serial,enamel,,0,13.8523666
61361,61361-a,61361-a.1,396.8,9/2/22,Maniraptorans,tooth,bulk,enamel,,0,17.44573973
60379,60379-a,60379-a.1,511.5,1/26/22,Naomichelys sp.,osteoscute fragment,bulk,bone,348.6,0.681524927,13.29354208
60379,60379-b,60379-b.1,534.5,2/3/22,Naomichelys sp.,osteoscute fragment,bulk,bone,371.1,0.694293732,13.77083135
60379,60379-c,60379-c.2,573.2,9/1/22,Naomichelys sp.,osteoscute fragment,bulk,bone,595.5,1.038904396,14.06762098
60379,60379-d,60379-d.1,493.8,9/1/22,Naomichelys sp.,osteoscute fragment,bulk,bone,512,1.036857027,15.02865964
60379,60379-e,60379-e.1,434.6,9/1/22,Naomichelys sp.,osteoscute fragment,bulk,bone,290.3,0.667970548,14.1069935
60379,60379-h,60379-h.1,425.9,9/2/22,Naomichelys sp.,osteoscute fragment,bulk,bone,,0,14.30036154
60379,60379-i,60379-i.2,447.7,2/3/22,Naomichelys sp.,osteoscute fragment,bulk,bone,222.4,0.496761224,14.15635209
60379,60379-j,60379-j.1,427.8,1/24/22,Naomichelys sp.,osteoscute fragment,bulk,bone,365.3,0.853903693,14.81588951
60379,60379-m,60379-m.1,577.5,9/1/22,Naomichelys sp.,osteoscute fragment,bulk,bone,,0,14.93893865
60379,60379-r,60379-r.1,459.1,9/2/22,Naomichelys sp.,osteoscute fragment,bulk,bone,291.8,0.635591374,14.91338284
