"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"M-BL-036","Spinosaurus aegypticus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",19.3,1,NA,NA
"M-BL-038a","cf. Sarcosuchus","C","croc","Crocodilian tooth enamel","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",18.4,1,NA,NA
"M-BL-039","Crocodylia","C","croc","Crocodilian tooth enamel","Early Cenomanian","","","Bou Laalou","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",17.4,1,NA,NA
"M-KS-001","Titanosauridae","H","sauropod","Dinosaur tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",19.4,1,NA,NA
"M-KS-007","Spinosaurus aegypticus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",17.8,1,NA,NA
"M-KS-012","Chelonia","?","turtle indet.","Turtle osteoscute","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",16.7,1,NA,NA
"M-KS-023","Carcharodontosaurus saharicus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",20.7,1,NA,NA
"M-KS-028","Carcharodontosaurus saharicus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",18.9,1,NA,NA
"M-KS-034","Crocodylia","C","croc","Crocodilian tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",16.5,1,NA,NA
"M-KS-036","Spinosaurus aegypticus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",20.3,1,NA,NA
"M-KS-037","Spinosaurus aegypticus","C","theropod","Dinosaur tooth enamel","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",17.3,1,NA,NA
"M-KS-040","Crocodylia","C","croc","Crocodilian bulk tooth","Early Cenomanian","","","Khetitila Srhira","Morocco","","","16.5 (+ 2.2/− 2.1)",NA,"Amiot et al., 2006",17.8,1,NA,NA
"NoID turtle","Testudinata indet.","","turtle indet.","osteoscute","Aptian–Albian","Cedar Mountain","Ruby Ranch","RRM","North America","","","",NA,"Suarez et al., 2014",14.4,4,0.529150262212918,0.264575131106459
"OMNH 22090a","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.3,2,0.565685424949239,0.4
"OMNH 22090b","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 22090c","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 22090d","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.8,1,NA,NA
"OMNH 22090e","Atoposauridae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.2,1,NA,NA
"OMNH 22092a","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.52,5,0.653452370108183,0.29223278392405
"OMNH 22092b","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9333333333333,3,0.450924975282289,0.260341655863555
"OMNH 22092c","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1666666666667,3,0.208166599946612,0.120185042515466
"OMNH 22092d","Goniopholididae","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,2,0.282842712474621,0.200000000000001
"OMNH 25543a","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,2,0,0
"OMNH 25543b","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.3,3,0.435889894354067,0.251661147842358
"OMNH 25544a","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.55,4,0.420317340430617,0.210158670215308
"OMNH 25544b","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6666666666667,3,0.152752523165195,0.0881917103688198
"OMNH 25544c","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.7,3,0.3605551275464,0.208166599946614
"OMNH 25585a","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9,1,NA,NA
"OMNH 25585b","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.3,1,NA,NA
"OMNH 25585c","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 25585d","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.5,1,NA,NA
"OMNH 25585e","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.1,1,NA,NA
"OMNH 25585f","Multituberculata","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,1,NA,NA
"OMNH 25606a","Tribosphenida","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 25606b","Tribosphenida","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 25606c","Tribosphenida","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.6,1,NA,NA
"OMNH 25606d","Tribosphenida","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16,1,NA,NA
"OMNH 25768a","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 25768b","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.2,1,NA,NA
"OMNH 25768c","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6,1,NA,NA
"OMNH 25768e","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9,1,NA,NA
"OMNH 25768f","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.05,2,1.34350288425444,0.95
"OMNH 25768g","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.35,2,1.34350288425444,0.95
"OMNH 25768h","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.45,2,0.919238815542511,0.649999999999999
"OMNH 25768i","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.65,2,2.1920310216783,1.55
"OMNH 25768j","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.55,2,2.61629509039023,1.85
"OMNH 26195a","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6,1,NA,NA
"OMNH 26195b","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",19.6166666666667,6,0.407021702943058,0.166165914408194
"OMNH 26195c","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.25,2,0.353553390593274,0.25
"OMNH 26195d","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.5,1,NA,NA
"OMNH 26251a","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,2,0.141421356237309,0.0999999999999996
"OMNH 26251b","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.05,2,0.777817459305203,0.550000000000001
"OMNH 26251e","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6,1,NA,NA
"OMNH 26251f","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 26251g","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.25,2,1.06066017177982,0.75
"OMNH 26277a","Chelonia costal frag","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,9,0.554526825320471,0.184842275106824
"OMNH 26285a","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.5,1,NA,NA
"OMNH 26285b","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,1,NA,NA
"OMNH 26285d","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 26285e","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.2,1,NA,NA
"OMNH 26285f","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.7,2,0.565685424949239,0.4
"OMNH 26285g","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.8,1,NA,NA
"OMNH 26285h","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.8,1,NA,NA
"OMNH 26285i","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.45,2,0.212132034355964,0.149999999999999
"OMNH 26285j","Theropoda","","theropod","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.5,1,NA,NA
"OMNH 26291a","Crocodylia","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.7,1,NA,NA
"OMNH 26291b","Crocodylia","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 26291c","Crocodylia","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",19.3,1,NA,NA
"OMNH 26496b","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.6,1,NA,NA
"OMNH 26496c","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.1,1,NA,NA
"OMNH 26496d","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.65,2,0.494974746830583,0.35
"OMNH 26496e","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.9,2,0.707106781186548,0.5
"OMNH 26496f","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.9,1,NA,NA
"OMNH 26496g","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.4,1,NA,NA
"OMNH 26496h","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.5,1,NA,NA
"OMNH 26496i","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18.4,1,NA,NA
"OMNH 26496j","Ornithischia","","ornithischian","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.6,1,NA,NA
"OMNH 26585a","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18,1,NA,NA
"OMNH 26585b","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17.4,1,NA,NA
"OMNH 26585c","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.8,1,NA,NA
"OMNH 26585d","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",17,1,NA,NA
"OMNH 26585e","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.8,1,NA,NA
"OMNH 26585f","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 26585g","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",18,1,NA,NA
"OMNH 26585h","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16,1,NA,NA
"OMNH 26585i","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",14.9,1,NA,NA
"OMNH 26585j","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.5,1,NA,NA
"OMNH 26585k","Mammalia","","mammal","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,1,NA,NA
"OMNH 27198a","Chelonia","","turtle indet.","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.6777777777778,9,0.808977406634106,0.269659135544702
"OMNH 27954a","Glyptops sp?","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.0666666666667,3,0.493288286231625,0.284800124843918
"OMNH 27954b","Glyptops sp?","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.9666666666667,3,0.404145188432737,0.233333333333333
"OMNH 27954c","Glyptops sp?","","aquatic turtle","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.8,1,NA,NA
"OMNH 27956a","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.225,4,0.0957427107756344,0.0478713553878172
"OMNH 27956b","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",15.25,2,0.0707106781186558,0.0500000000000007
"OMNH 27956c","Crocodylia scute","","croc","","","Cedar Mountain","","MM","","","","",NA,"Suarez et al., 2014",16.4,2,0.707106781186546,0.499999999999999
