"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"TMP2013.019.0110","Ceratopsidae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.0666666666667,3,3.41955162752858,1.97427905266145
"TMP2013.019.0111","Ceratopsidae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",12.5666666666667,3,0.838649708360608,0.484194634877798
"TMP2013.019.0112","Ceratopsidae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.2666666666667,3,0.923760430703402,0.533333333333334
"TMP2013.019.0113","Champsosaurus","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.9,2,4.10121933088198,2.9
"TMP2013.019.0114","Champsosaurus","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.3333333333333,3,3.19739477283199,1.84601673280005
"TMP2013.019.0115","Champsosaurus","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.775,4,2.21716786313832,1.10858393156916
"TMP2013.019.0116","Dromaeosaurus","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",15.5714285714286,7,0.813867896148357,0.307613150466842
"TMP2013.019.0117","Dromaeosaurus","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.2833333333333,6,0.567156650905786,0.231540733157497
"TMP2013.019.0118","Dromaeosaurus","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",11.85,6,0.831264097624816,0.339362146779317
"TMP2013.019.0119","Eusuchia_(Alligatorinae)","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",15.95,6,1.7626684316683,0.719606373883204
"TMP2013.019.0120","Eusuchia_(Alligatorinae)","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",18.1666666666667,3,0.251661147842358,0.145296631451356
"TMP2013.019.0121","Eusuchia_(Alligatorinae)","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",18.6666666666667,3,0.0577350269189613,0.0333333333333326
"TMP2013.019.0122","Eusuchia_(Leidyosuchus)","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",16.7333333333333,3,0.251661147842358,0.145296631451356
"TMP2013.019.0123","Eusuchia_(Leidyosuchus)","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",15.3666666666667,3,3.28075194632775,1.89414301935672
"TMP2013.019.0124","Eusuchia_(Leidyosuchus)","C","croc","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",17.6,3,0.435889894354066,0.251661147842358
"TMP2013.019.0125","Hadrosauridae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",19.8,2,0.141421356237309,0.0999999999999996
"TMP2013.019.0126","Hadrosauridae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",15.6833333333333,6,1.21064720982897,0.494244653767522
"TMP2013.019.0127","Hadrosauridae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.5,3,0.300000000000001,0.173205080756888
"TMP2013.019.0128","Hadrosauridae","H","ornithischian","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.75,2,0.353553390593274,0.25
"TMP2013.019.0129","Holostean_A","","fish","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.5333333333333,3,1.12398102000582,0.648930744464393
"TMP2013.019.0130","Holostean_A","","fish","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",10.3,3,0.264575131106459,0.152752523165195
"TMP2013.019.0131","Holostean_A","","fish","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",15.1666666666667,3,0.55075705472861,0.317979733805649
"TMP2013.019.0132","Lepisosteidae","C","freshwater fish","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.2666666666667,3,0.461880215351701,0.266666666666667
"TMP2013.019.0133","Lepisosteidae","C","freshwater fish","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.2333333333333,3,0.737111479583199,0.425571511160124
"TMP2013.019.0134","Lepisosteidae","C","freshwater fish","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.7,3,0.5,0.288675134594813
"TMP2013.019.0135","Metatheria","","mammal","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",10.1,4,2.11029223884592,1.05514611942296
"TMP2013.019.0136","Bivalve_Shell","","","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",14.95,2,0.0707106781186545,0.0499999999999998
"TMP2013.019.0137","Bivalve_Shell","","","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.8833333333333,6,4.92236393074168,2.00954665976627
"TMP2013.019.0138","Multituberculata","O","mammal","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",16.025,8,4.86466853958212,1.71992005628169
"TMP2013.019.0139","Multituberculata","O","mammal","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.68,5,0.749666592559653,0.335261092284804
"TMP2013.019.0140","Multituberculata","O","mammal","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13,3,1.4,0.808290376865476
"TMP2013.019.0141","Myledaphus","C","chondrichthyan","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",12.5666666666667,3,0.577350269189626,0.333333333333333
"TMP2013.019.0142","Myledaphus","C","chondrichthyan","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",8.13333333333333,3,0.0577350269189624,0.0333333333333332
"TMP2013.019.0143","Myledaphus","C","chondrichthyan","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",9.86666666666667,3,1.53079500042734,0.883804905570857
"TMP2013.019.0144","Saurornitholestes","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",12.5,3,1.94679223339318,1.12398102000582
"TMP2013.019.0145","Saurornitholestes","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",15.0333333333333,3,0.45092497528229,0.260341655863555
"TMP2013.019.0146","Saurornitholestes","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",16.2666666666667,3,0.230940107675849,0.133333333333333
"TMP2013.019.0147","Troodon","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",9.73333333333333,3,2.01080415091409,1.16093831781787
"TMP2013.019.0148","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",18.9363636363636,11,2.09201946801301,0.630767602683462
"TMP2013.019.0149","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",13.65,2,0.494974746830583,0.35
"TMP2013.019.0150","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",17,3,1.55884572681199,0.9
"TMP2013.019.0151","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",19.9,3,0.6557438524302,0.378593889720018
"TMP2013.019.0153","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",19.1333333333333,3,0.351188458428424,0.20275875100994
"TMP2013.019.0154","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",17.2,3,1.15325625946708,0.66583281184794
"TMP2013.019.0155","Tyrannosauridae","C","theropod","","Campanian","Oldman ","upper","Rainy Day Site","North America","49.194°N","110.733°W","",NA,"Cullen et al., 2020",26.725,4,2.80876603985926,1.40438301992963
"TU-001","Theropoda","C","theropod","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",20,1,NA,NA
"TU-002","Theropoda","C","theropod","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",21.2,1,NA,NA
"TU-003","Theropoda","C","theropod","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",20.3,1,NA,NA
"TU-004","cf. Spinosaurus","C","theropod","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",22.2,1,NA,NA
"TU-005","Crocodylia?","C","croc","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",16.4,1,NA,NA
"TU-006","cf. Spinosaurus","C","theropod","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",19.8,1,NA,NA
"TU-007","Crocodylia","C","croc","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",18.2,1,NA,NA
"TU-008","Crocodylia","C","croc","tooth enamel","Early Albian","","","Bateun el Hmaima","Africa","","","12.4",NA,"Amiot et al, 2006",18.4,1,NA,NA
"UMNH 16867","crocodilian scute","","croc","","","Cedar Mountain","","uYCM","","","","",NA,"Suarez et al., 2014",13.65,12,0.561653403314308,0.162135371797393
